TYPE	V02	V03	V04	V05	V06	V07	V08	V09	V10	V11	V12	V13	V14	V15	V16	V18	V19	V20	V21	V22	V23
EDIBLE	CONVEX	FIBROUS	YELLOW	BRUISES	ALMOND	FREE	CROWDED	NARROW	BROWN	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	BROWN	SEVERAL	WOODS
EDIBLE	CONVEX	FIBROUS	YELLOW	BRUISES	ANISE	FREE	CROWDED	NARROW	WHITE	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	PURPLE	SEVERAL	WOODS
EDIBLE	CONVEX	FIBROUS	YELLOW	BRUISES	ANISE	FREE	CROWDED	NARROW	WHITE	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	BROWN	SEVERAL	WOODS
EDIBLE	CONVEX	FIBROUS	YELLOW	BRUISES	ANISE	FREE	CROWDED	NARROW	PINK	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	PURPLE	SEVERAL	WOODS
EDIBLE	CONVEX	FIBROUS	YELLOW	BRUISES	ANISE	FREE	CROWDED	NARROW	PINK	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	BROWN	SEVERAL	WOODS
EDIBLE	CONVEX	FIBROUS	YELLOW	BRUISES	ANISE	FREE	CROWDED	NARROW	BROWN	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	PURPLE	SEVERAL	WOODS
EDIBLE	CONVEX	FIBROUS	YELLOW	BRUISES	ANISE	FREE	CROWDED	NARROW	BROWN	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	BROWN	SEVERAL	WOODS
EDIBLE	FLAT	SMOOTH	WHITE	BRUISES	ALMOND	FREE	CROWDED	NARROW	WHITE	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	PURPLE	SEVERAL	WOODS
EDIBLE	FLAT	SMOOTH	WHITE	BRUISES	ALMOND	FREE	CROWDED	NARROW	WHITE	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	BROWN	SEVERAL	WOODS
EDIBLE	FLAT	SMOOTH	WHITE	BRUISES	ALMOND	FREE	CROWDED	NARROW	PINK	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	PURPLE	SEVERAL	WOODS
EDIBLE	FLAT	SMOOTH	WHITE	BRUISES	ALMOND	FREE	CROWDED	NARROW	PINK	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	BROWN	SEVERAL	WOODS
EDIBLE	FLAT	SMOOTH	WHITE	BRUISES	ALMOND	FREE	CROWDED	NARROW	BROWN	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	PURPLE	SEVERAL	WOODS
EDIBLE	FLAT	SMOOTH	WHITE	BRUISES	ALMOND	FREE	CROWDED	NARROW	BROWN	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	BROWN	SEVERAL	WOODS
EDIBLE	FLAT	SMOOTH	WHITE	BRUISES	ANISE	FREE	CROWDED	NARROW	WHITE	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	PURPLE	SEVERAL	WOODS
EDIBLE	FLAT	SMOOTH	WHITE	BRUISES	ANISE	FREE	CROWDED	NARROW	WHITE	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	BROWN	SEVERAL	WOODS
EDIBLE	FLAT	SMOOTH	WHITE	BRUISES	ANISE	FREE	CROWDED	NARROW	PINK	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	PURPLE	SEVERAL	WOODS
EDIBLE	FLAT	SMOOTH	WHITE	BRUISES	ANISE	FREE	CROWDED	NARROW	PINK	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	BROWN	SEVERAL	WOODS
EDIBLE	FLAT	SMOOTH	WHITE	BRUISES	ANISE	FREE	CROWDED	NARROW	BROWN	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	PURPLE	SEVERAL	WOODS
EDIBLE	FLAT	SMOOTH	WHITE	BRUISES	ANISE	FREE	CROWDED	NARROW	BROWN	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	BROWN	SEVERAL	WOODS
EDIBLE	FLAT	SMOOTH	YELLOW	BRUISES	ALMOND	FREE	CROWDED	NARROW	WHITE	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	PURPLE	SEVERAL	WOODS
EDIBLE	FLAT	SMOOTH	YELLOW	BRUISES	ALMOND	FREE	CROWDED	NARROW	WHITE	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	BROWN	SEVERAL	WOODS
EDIBLE	FLAT	SMOOTH	YELLOW	BRUISES	ALMOND	FREE	CROWDED	NARROW	PINK	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	PURPLE	SEVERAL	WOODS
EDIBLE	FLAT	SMOOTH	YELLOW	BRUISES	ALMOND	FREE	CROWDED	NARROW	PINK	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	BROWN	SEVERAL	WOODS
EDIBLE	FLAT	SMOOTH	YELLOW	BRUISES	ALMOND	FREE	CROWDED	NARROW	BROWN	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	PURPLE	SEVERAL	WOODS
EDIBLE	FLAT	SMOOTH	YELLOW	BRUISES	ALMOND	FREE	CROWDED	NARROW	BROWN	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	BROWN	SEVERAL	WOODS
EDIBLE	FLAT	SMOOTH	YELLOW	BRUISES	ANISE	FREE	CROWDED	NARROW	WHITE	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	PURPLE	SEVERAL	WOODS
EDIBLE	FLAT	SMOOTH	YELLOW	BRUISES	ANISE	FREE	CROWDED	NARROW	WHITE	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	BROWN	SEVERAL	WOODS
EDIBLE	FLAT	SMOOTH	YELLOW	BRUISES	ANISE	FREE	CROWDED	NARROW	PINK	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	PURPLE	SEVERAL	WOODS
EDIBLE	FLAT	SMOOTH	YELLOW	BRUISES	ANISE	FREE	CROWDED	NARROW	PINK	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	BROWN	SEVERAL	WOODS
EDIBLE	FLAT	SMOOTH	YELLOW	BRUISES	ANISE	FREE	CROWDED	NARROW	BROWN	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	PURPLE	SEVERAL	WOODS
EDIBLE	FLAT	SMOOTH	YELLOW	BRUISES	ANISE	FREE	CROWDED	NARROW	BROWN	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	BROWN	SEVERAL	WOODS
EDIBLE	FLAT	FIBROUS	WHITE	BRUISES	ALMOND	FREE	CROWDED	NARROW	WHITE	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	PURPLE	SEVERAL	WOODS
EDIBLE	FLAT	FIBROUS	WHITE	BRUISES	ALMOND	FREE	CROWDED	NARROW	WHITE	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	BROWN	SEVERAL	WOODS
EDIBLE	FLAT	FIBROUS	WHITE	BRUISES	ALMOND	FREE	CROWDED	NARROW	PINK	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	PURPLE	SEVERAL	WOODS
EDIBLE	FLAT	FIBROUS	WHITE	BRUISES	ALMOND	FREE	CROWDED	NARROW	PINK	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	BROWN	SEVERAL	WOODS
EDIBLE	FLAT	FIBROUS	WHITE	BRUISES	ALMOND	FREE	CROWDED	NARROW	BROWN	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	PURPLE	SEVERAL	WOODS
EDIBLE	FLAT	FIBROUS	WHITE	BRUISES	ALMOND	FREE	CROWDED	NARROW	BROWN	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	BROWN	SEVERAL	WOODS
EDIBLE	FLAT	FIBROUS	WHITE	BRUISES	ANISE	FREE	CROWDED	NARROW	WHITE	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	PURPLE	SEVERAL	WOODS
EDIBLE	FLAT	FIBROUS	WHITE	BRUISES	ANISE	FREE	CROWDED	NARROW	WHITE	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	BROWN	SEVERAL	WOODS
EDIBLE	FLAT	FIBROUS	WHITE	BRUISES	ANISE	FREE	CROWDED	NARROW	PINK	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	PURPLE	SEVERAL	WOODS
EDIBLE	FLAT	FIBROUS	WHITE	BRUISES	ANISE	FREE	CROWDED	NARROW	PINK	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	BROWN	SEVERAL	WOODS
EDIBLE	FLAT	FIBROUS	WHITE	BRUISES	ANISE	FREE	CROWDED	NARROW	BROWN	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	PURPLE	SEVERAL	WOODS
EDIBLE	FLAT	FIBROUS	WHITE	BRUISES	ANISE	FREE	CROWDED	NARROW	BROWN	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	BROWN	SEVERAL	WOODS
EDIBLE	FLAT	FIBROUS	YELLOW	BRUISES	ALMOND	FREE	CROWDED	NARROW	WHITE	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	PURPLE	SEVERAL	WOODS
EDIBLE	FLAT	FIBROUS	YELLOW	BRUISES	ALMOND	FREE	CROWDED	NARROW	WHITE	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	BROWN	SEVERAL	WOODS
EDIBLE	FLAT	FIBROUS	YELLOW	BRUISES	ALMOND	FREE	CROWDED	NARROW	PINK	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	PURPLE	SEVERAL	WOODS
EDIBLE	FLAT	FIBROUS	YELLOW	BRUISES	ALMOND	FREE	CROWDED	NARROW	PINK	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	BROWN	SEVERAL	WOODS
EDIBLE	FLAT	FIBROUS	YELLOW	BRUISES	ALMOND	FREE	CROWDED	NARROW	BROWN	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	PURPLE	SEVERAL	WOODS
EDIBLE	FLAT	FIBROUS	YELLOW	BRUISES	ALMOND	FREE	CROWDED	NARROW	BROWN	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	BROWN	SEVERAL	WOODS
EDIBLE	FLAT	FIBROUS	YELLOW	BRUISES	ANISE	FREE	CROWDED	NARROW	WHITE	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	PURPLE	SEVERAL	WOODS
EDIBLE	FLAT	FIBROUS	YELLOW	BRUISES	ANISE	FREE	CROWDED	NARROW	WHITE	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	BROWN	SEVERAL	WOODS
EDIBLE	FLAT	FIBROUS	YELLOW	BRUISES	ANISE	FREE	CROWDED	NARROW	PINK	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	PURPLE	SEVERAL	WOODS
EDIBLE	FLAT	FIBROUS	YELLOW	BRUISES	ANISE	FREE	CROWDED	NARROW	PINK	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	BROWN	SEVERAL	WOODS
EDIBLE	FLAT	FIBROUS	YELLOW	BRUISES	ANISE	FREE	CROWDED	NARROW	BROWN	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	PURPLE	SEVERAL	WOODS
EDIBLE	FLAT	FIBROUS	YELLOW	BRUISES	ANISE	FREE	CROWDED	NARROW	BROWN	TAPERING	BULBOUS	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	BROWN	SEVERAL	WOODS
EDIBLE	BELL	SMOOTH	WHITE	BRUISES	ALMOND	FREE	CLOSE	BROAD	WHITE	ENLARGING	CLUB	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	BLACK	SCATTERED	MEADOWS
EDIBLE	BELL	SMOOTH	WHITE	BRUISES	ALMOND	FREE	CLOSE	BROAD	WHITE	ENLARGING	CLUB	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	BLACK	SCATTERED	GRASSES
EDIBLE	BELL	SMOOTH	WHITE	BRUISES	ALMOND	FREE	CLOSE	BROAD	WHITE	ENLARGING	CLUB	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	BLACK	NUMEROUS	MEADOWS
EDIBLE	BELL	SMOOTH	WHITE	BRUISES	ALMOND	FREE	CLOSE	BROAD	WHITE	ENLARGING	CLUB	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	BLACK	NUMEROUS	GRASSES
EDIBLE	BELL	SMOOTH	WHITE	BRUISES	ALMOND	FREE	CLOSE	BROAD	WHITE	ENLARGING	CLUB	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	BROWN	SCATTERED	MEADOWS
EDIBLE	BELL	SMOOTH	WHITE	BRUISES	ALMOND	FREE	CLOSE	BROAD	WHITE	ENLARGING	CLUB	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	BROWN	SCATTERED	GRASSES
EDIBLE	BELL	SMOOTH	WHITE	BRUISES	ALMOND	FREE	CLOSE	BROAD	WHITE	ENLARGING	CLUB	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	BROWN	NUMEROUS	MEADOWS
EDIBLE	BELL	SMOOTH	WHITE	BRUISES	ALMOND	FREE	CLOSE	BROAD	WHITE	ENLARGING	CLUB	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	BROWN	NUMEROUS	GRASSES
EDIBLE	BELL	SMOOTH	WHITE	BRUISES	ALMOND	FREE	CLOSE	BROAD	GRAY	ENLARGING	CLUB	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	BLACK	SCATTERED	MEADOWS
EDIBLE	BELL	SMOOTH	WHITE	BRUISES	ALMOND	FREE	CLOSE	BROAD	GRAY	ENLARGING	CLUB	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	BLACK	SCATTERED	GRASSES
EDIBLE	BELL	SMOOTH	WHITE	BRUISES	ALMOND	FREE	CLOSE	BROAD	GRAY	ENLARGING	CLUB	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	BLACK	NUMEROUS	MEADOWS
EDIBLE	BELL	SMOOTH	WHITE	BRUISES	ALMOND	FREE	CLOSE	BROAD	GRAY	ENLARGING	CLUB	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	BLACK	NUMEROUS	GRASSES
EDIBLE	BELL	SMOOTH	WHITE	BRUISES	ALMOND	FREE	CLOSE	BROAD	GRAY	ENLARGING	CLUB	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	BROWN	SCATTERED	MEADOWS
EDIBLE	BELL	SMOOTH	WHITE	BRUISES	ALMOND	FREE	CLOSE	BROAD	GRAY	ENLARGING	CLUB	SMOOTH	SMOOTH	WHITE	WHITE	WHITE	ONE	PENDANT	BROWN	SCATTERED	GRASSES
